race,sex,age_cat,decile_score,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,length_of_stay,two_year_recid
0,0,1,7,3,-1.0,0,0,1,28,0
1,1,1,1,0,0.0,1,0,0,5,0
0,1,0,9,1,-1.0,0,1,2,4,1
1,1,1,3,2,0.0,1,0,0,0,0
0,1,0,5,0,-1.0,0,1,1,0,1
0,1,1,9,22,0.0,0,1,2,0,1
0,1,2,1,0,-1.0,1,0,0,0,0
1,1,0,4,0,-1.0,0,0,0,1,0
0,0,0,5,1,0.0,1,1,1,0,1
0,0,1,2,1,-1.0,1,0,0,0,0
1,1,1,6,2,0.0,0,0,1,0,0
0,1,1,2,3,-1.0,0,1,0,1,1
0,0,1,2,0,-1.0,1,0,0,1,0
0,1,1,3,0,0.0,0,0,0,0,0
0,1,1,10,17,-4.0,0,1,2,4,1
0,1,0,1,1,-1.0,0,1,0,0,1
0,1,1,6,7,-1.0,0,0,1,1,0
0,1,0,3,0,-1.0,0,0,0,0,0
1,1,1,4,8,-1.0,0,0,0,2,0
0,1,1,7,14,-1.0,0,1,1,0,1
0,1,1,5,0,-1.0,1,0,1,0,0
1,0,1,3,1,-1.0,1,1,0,0,1
0,1,1,8,5,0.0,1,1,2,5,1
0,1,1,10,16,-1.0,0,0,2,17,0
1,1,1,3,1,-1.0,1,1,0,0,1
1,1,1,1,0,0.0,1,0,0,0,0
1,1,2,4,2,-3.0,0,0,0,0,0
0,1,1,6,3,0.0,1,1,1,2,1
0,0,0,3,1,-1.0,0,0,0,1,0
1,1,1,2,2,-1.0,1,1,0,0,0
0,1,1,8,13,-1.0,0,1,2,5,1
0,1,1,8,20,0.0,0,0,2,1,0
0,1,1,8,3,-1.0,0,1,2,0,1
0,1,2,10,25,-1.0,0,1,2,6,1
0,1,0,7,1,28.0,1,1,1,1,1
0,1,2,8,9,-1.0,1,1,2,38,1
1,1,1,4,5,-1.0,0,1,0,35,1
0,1,2,7,4,-1.0,1,1,1,27,1
0,1,1,2,4,-1.0,1,0,0,1,0
1,1,2,1,4,-1.0,1,1,0,0,0
0,1,1,4,1,-1.0,0,1,0,5,1
0,1,1,4,2,-1.0,1,0,0,0,0
0,1,1,5,6,-1.0,0,1,1,20,1
1,1,2,1,0,-1.0,0,0,0,1,0
0,1,0,7,1,-2.0,1,1,1,0,1
1,1,1,7,4,0.0,1,1,1,293,1
1,0,1,2,1,-1.0,1,1,0,10,1
0,1,0,8,1,-1.0,0,0,2,2,0
0,1,0,9,1,-1.0,0,1,2,2,1
1,1,0,4,3,-1.0,0,1,0,1,1
0,1,1,8,4,-1.0,1,1,2,1,1
1,1,2,2,1,0.0,0,0,0,0,0
0,1,0,5,5,-1.0,0,1,1,1,1
1,1,1,4,0,0.0,0,0,0,-1,0
1,1,2,1,0,-1.0,0,0,0,1,0
0,1,0,9,7,-1.0,1,0,2,1,0
1,0,0,5,0,-1.0,1,0,1,0,0
0,1,0,3,1,-1.0,0,1,0,1,1
0,1,1,8,9,0.0,1,0,2,1,0
0,1,1,4,5,-1.0,0,1,0,1,1
1,0,0,6,1,-23.0,0,0,1,1,0
0,1,1,9,0,-1.0,0,1,2,9,1
0,1,1,8,25,-1.0,1,1,2,117,1
0,1,0,4,0,-1.0,0,0,0,2,0
0,1,1,8,13,-1.0,0,1,2,1,1
0,0,1,3,4,-5.0,0,0,0,0,0
1,1,1,2,0,0.0,0,0,0,22,0
0,0,2,1,0,-1.0,0,0,0,2,0
0,1,0,9,3,-1.0,0,0,2,33,0
0,0,1,2,1,-1.0,1,0,0,1,0
1,1,0,8,1,-1.0,0,1,2,19,1
1,1,1,4,3,0.0,0,0,0,0,0
0,1,0,10,6,-1.0,0,1,2,135,1
0,1,1,3,1,-1.0,0,0,0,2,0
1,1,2,1,1,-1.0,0,1,0,1,0
0,1,1,7,1,-1.0,0,0,1,1,0
0,1,2,2,3,-1.0,0,0,0,1,0
1,1,0,4,1,-1.0,1,1,0,0,1
0,1,1,5,4,0.0,0,0,1,108,0
1,0,1,3,1,-22.0,0,1,0,0,1
0,0,1,5,1,7.0,0,0,1,179,0
0,1,1,7,9,-1.0,0,1,1,11,1
1,1,1,10,0,-1.0,0,1,2,27,1
1,1,2,1,1,-1.0,0,1,0,3,1
0,1,1,6,3,-1.0,1,1,1,1,1
0,1,1,1,3,-1.0,0,1,0,2,1
0,1,1,3,5,0.0,1,1,0,0,1
1,0,1,1,0,0.0,1,0,0,0,0
0,1,1,2,0,-1.0,0,1,0,0,1
1,0,1,4,3,-1.0,1,0,0,45,0
1,0,2,1,0,-1.0,1,0,0,0,0
1,1,0,2,0,-1.0,0,0,0,1,0
0,1,1,7,6,-1.0,1,1,1,35,1
0,1,0,7,1,0.0,0,1,1,-1,1
0,1,2,2,2,0.0,0,1,0,9,1
0,1,1,2,0,0.0,1,0,0,1,0
1,1,2,5,1,-5.0,0,0,1,3,0
0,1,1,2,4,-1.0,1,1,0,0,1
1,0,2,1,1,-4.0,0,1,0,1,1
0,1,2,1,3,-1.0,0,1,0,0,1
0,1,0,9,2,-1.0,0,1,2,0,1
0,1,1,10,19,-1.0,0,1,2,14,1
0,1,2,9,3,-1.0,1,0,2,220,0
1,1,1,3,2,0.0,0,0,0,1,0
0,1,2,1,0,0.0,1,0,0,1,0
0,1,1,7,10,-1.0,1,1,1,1,1
0,1,1,2,1,-3.0,0,0,0,3,0
1,0,1,1,1,0.0,1,0,0,0,0
0,1,1,9,14,-1.0,0,1,2,2,1
0,1,0,7,2,-1.0,0,0,1,1,0
0,1,1,10,5,-1.0,0,1,2,3,1
1,1,1,5,1,-1.0,0,0,1,1,0
0,1,0,8,1,-1.0,0,0,2,108,0
0,1,1,2,2,-1.0,1,1,0,0,1
0,1,0,7,6,-1.0,0,1,1,2,1
1,0,1,6,0,-1.0,0,0,1,0,0
1,1,0,4,0,-1.0,0,0,0,1,0
0,1,1,5,1,-1.0,1,1,1,1,1
0,1,2,5,0,-3.0,0,1,1,1,1
0,1,1,7,7,0.0,0,1,1,78,1
1,1,1,1,2,-1.0,0,0,0,0,0
1,1,1,1,5,-1.0,0,0,0,1,0
1,1,0,3,0,0.0,1,0,0,2,0
1,0,0,5,0,-1.0,1,1,1,1,1
0,1,2,1,0,-1.0,0,0,0,1,0
0,1,1,6,10,-1.0,0,1,1,1,1
1,1,0,3,0,-4.0,1,0,0,1,0
0,1,0,6,2,-1.0,0,1,1,6,1
0,1,1,8,5,-20.0,1,1,2,19,1
0,1,1,7,10,-1.0,0,1,1,23,1
0,1,2,5,4,-1.0,1,1,1,78,1
1,1,0,5,2,-1.0,1,1,1,13,1
0,1,1,4,0,-1.0,1,1,0,0,1
0,0,0,4,0,-1.0,0,0,0,1,0
0,1,2,1,6,0.0,1,1,0,1,1
0,1,1,1,0,-1.0,0,0,0,2,0
0,0,0,7,6,-18.0,1,0,1,17,0
0,1,1,1,1,-1.0,1,0,0,9,0
1,1,1,9,8,-4.0,0,1,2,0,1
0,1,0,7,1,-18.0,1,1,1,0,1
0,1,1,4,4,-1.0,1,1,0,1,1
0,0,1,4,3,-1.0,0,0,0,26,0
0,1,0,7,2,-1.0,0,1,1,6,1
1,1,1,4,8,-2.0,0,1,0,2,0
0,1,1,10,6,-1.0,0,1,2,39,1
1,1,1,1,0,0.0,1,0,0,0,0
0,1,0,8,0,0.0,0,1,2,0,1
0,0,0,3,0,-2.0,1,0,0,0,0
0,1,1,2,0,-1.0,1,0,0,0,0
0,1,1,5,6,-1.0,0,1,1,2,1
0,1,2,4,17,0.0,1,0,0,0,0
1,1,0,6,2,-27.0,0,0,1,0,0
0,1,0,7,2,-1.0,1,0,1,5,0
0,1,1,4,5,-1.0,0,0,0,0,0
0,1,1,6,1,-9.0,0,0,1,4,0
0,1,1,6,2,-1.0,0,0,1,37,0
1,1,1,3,6,0.0,0,0,0,-1,0
0,1,1,5,2,-1.0,0,0,1,58,0
0,1,1,10,0,0.0,0,0,2,0,0
0,1,1,7,17,-1.0,1,1,1,2,1
0,1,1,10,11,-1.0,1,1,2,2,1
0,1,1,5,1,0.0,0,0,1,1,0
0,1,1,9,6,-1.0,0,1,2,0,1
1,1,2,1,1,-1.0,0,0,0,0,0
0,0,2,1,0,-1.0,0,0,0,1,0
1,1,0,4,3,-1.0,1,0,0,1,0
0,0,2,1,5,-1.0,0,0,0,1,0
0,1,1,5,16,0.0,0,1,1,0,1
0,0,1,7,5,-1.0,1,1,1,47,1
1,1,2,1,0,-1.0,0,0,0,0,0
0,1,1,2,1,0.0,0,0,0,6,0
0,1,1,3,3,0.0,1,1,0,-1,1
0,1,1,8,13,-1.0,1,1,2,0,1
0,1,2,1,2,0.0,1,0,0,0,0
1,1,1,1,1,-15.0,0,0,0,14,0
1,1,2,4,5,-1.0,1,0,0,12,0
1,1,2,1,2,-1.0,0,0,0,1,0
0,1,1,10,1,-4.0,1,1,2,1,1
0,1,1,1,0,-1.0,1,1,0,1,1
1,0,2,1,0,0.0,1,0,0,0,0
0,0,0,5,0,-1.0,1,0,1,1,0
0,1,2,10,17,-1.0,0,1,2,25,1
0,1,1,3,1,-1.0,0,1,0,1,1
0,1,1,1,0,-1.0,0,0,0,2,0
1,0,1,1,0,-1.0,1,0,0,1,0
1,1,1,2,2,-1.0,1,1,0,5,1
0,1,1,2,2,-1.0,1,0,0,1,0
0,1,1,5,4,-1.0,1,1,1,2,1
0,0,1,8,0,-1.0,0,0,2,2,0
0,0,1,7,4,0.0,0,1,1,0,1
1,0,2,6,30,-1.0,1,1,1,3,1
0,1,2,3,4,0.0,0,0,0,0,0
0,1,1,3,2,-2.0,0,1,0,1,0
1,0,1,1,0,-1.0,0,0,0,1,0
1,1,2,1,0,-1.0,0,0,0,0,0
0,1,2,3,2,-1.0,0,0,0,0,0
0,1,2,7,19,-1.0,0,0,1,117,0
0,1,0,8,5,-1.0,0,1,2,19,1
0,1,0,10,0,-5.0,0,1,2,1,1
0,1,1,3,0,-1.0,0,1,0,1,1
0,1,1,5,2,-1.0,0,0,1,20,0
1,0,2,5,4,0.0,0,0,1,3,0
1,1,2,3,1,-1.0,0,1,0,0,1
0,1,1,10,8,-1.0,0,1,2,1,1
1,1,1,1,3,0.0,0,0,0,0,0
0,1,1,1,1,-17.0,0,0,0,1,0
0,1,2,3,10,-1.0,0,1,0,1,1
1,1,2,1,2,0.0,1,0,0,0,0
1,1,1,6,1,0.0,1,0,1,0,0
1,1,1,4,0,0.0,0,0,0,0,0
0,0,0,6,1,-1.0,0,1,1,1,1
1,1,2,1,0,0.0,0,0,0,0,0
0,1,2,3,1,0.0,0,1,0,19,1
1,1,2,1,2,0.0,0,0,0,12,0
1,1,1,5,6,-29.0,1,0,1,27,0
0,1,0,2,1,0.0,1,1,0,-1,1
0,1,1,1,0,0.0,0,0,0,-1,0
0,1,1,10,9,-1.0,0,1,2,799,1
1,1,1,8,2,0.0,1,0,2,12,0
1,1,0,5,0,-1.0,1,1,1,0,1
0,1,1,9,18,-1.0,1,0,2,1,0
1,0,1,10,5,0.0,0,1,2,7,1
0,1,0,6,1,0.0,0,1,1,0,1
0,0,0,8,0,0.0,0,0,2,-1,0
1,1,2,2,8,-14.0,0,0,0,11,0
0,1,2,2,7,-1.0,0,0,0,0,0
1,1,1,1,3,-1.0,0,0,0,1,0
1,0,0,7,2,-1.0,0,0,1,2,0
0,0,0,5,3,-1.0,0,1,1,0,1
1,1,2,1,3,-1.0,1,1,0,2,1
1,1,1,10,4,-10.0,1,0,2,1,0
1,1,2,1,1,-2.0,1,0,0,1,0
1,0,0,3,0,-1.0,1,0,0,-1,0
1,0,1,2,1,-1.0,0,0,0,2,0
0,1,1,3,0,-1.0,1,1,0,4,1
0,1,1,9,16,-2.0,0,1,2,0,1
0,1,1,5,4,-1.0,1,1,1,1,1
0,1,0,2,0,0.0,0,0,0,-1,0
0,1,1,9,12,-1.0,1,1,2,2,1
1,1,1,2,0,-1.0,1,1,0,0,0
1,0,1,1,0,0.0,1,0,0,0,0
0,1,1,6,9,-1.0,0,1,1,0,1
0,1,1,6,5,-1.0,0,1,1,1,1
0,1,1,9,11,-1.0,0,1,2,6,1
0,1,2,1,1,0.0,0,1,0,0,1
0,0,2,1,1,-28.0,0,0,0,0,0
0,1,1,2,1,0.0,1,1,0,-1,1
0,1,2,4,5,-1.0,0,0,0,0,0
1,0,2,7,6,0.0,1,0,1,33,0
1,1,1,1,0,0.0,1,0,0,0,0
0,0,0,7,0,-1.0,0,0,1,1,0
0,0,1,9,14,-1.0,0,0,2,3,0
1,1,1,3,1,0.0,1,1,0,0,1
1,0,2,1,0,0.0,1,0,0,0,0
1,1,0,3,0,-1.0,0,1,0,1,1
1,0,2,7,0,0.0,0,0,1,13,0
1,1,1,1,0,-1.0,1,0,0,1,0
0,0,0,7,0,-1.0,0,0,1,0,0
1,1,1,1,0,0.0,1,0,0,-1,0
1,1,1,5,4,-1.0,0,1,1,1,1
1,0,1,4,0,-1.0,1,0,0,0,0
0,1,2,1,0,-1.0,0,0,0,1,0
0,1,0,2,2,-1.0,0,1,0,1,1
1,1,0,2,1,-1.0,1,0,0,0,0
0,1,0,9,0,0.0,0,1,2,1,1
0,0,1,5,2,-1.0,0,0,1,14,0
1,1,1,3,3,0.0,1,0,0,0,0
0,1,1,9,9,-1.0,1,1,2,0,0
0,1,0,5,0,-1.0,0,0,1,4,0
0,1,1,8,9,-1.0,0,1,2,1,1
0,1,2,2,3,0.0,0,0,0,1,0
0,1,0,3,0,-1.0,0,1,0,1,1
0,0,1,9,3,-1.0,0,1,2,3,1
0,1,2,5,4,-3.0,1,0,1,2,0
0,0,0,3,0,0.0,1,0,0,0,0
1,1,1,4,0,-1.0,1,0,0,0,0
0,1,1,5,4,-1.0,0,1,1,32,1
1,0,1,5,2,-1.0,0,1,1,43,1
1,0,1,10,11,-3.0,0,1,2,34,1
0,0,1,4,6,-1.0,0,1,0,3,1
0,1,2,1,3,-1.0,0,0,0,0,0
1,0,1,3,3,-1.0,1,0,0,0,0
1,1,1,3,2,-1.0,0,1,0,0,1
1,0,1,5,0,0.0,0,0,1,1,0
0,1,0,10,0,-1.0,1,1,2,4,1
1,1,1,4,0,-1.0,0,0,0,77,0
1,0,1,3,1,-25.0,1,0,0,1,0
1,1,2,6,8,0.0,0,1,1,3,1
0,0,1,2,1,-2.0,0,0,0,0,0
0,1,1,1,0,0.0,1,0,0,-1,0
1,1,1,2,0,-1.0,0,1,0,8,1
0,1,1,6,5,-1.0,0,1,1,51,1
0,1,1,6,4,-1.0,0,1,1,414,1
0,1,1,7,7,-1.0,0,1,1,1,1
1,1,1,4,0,0.0,0,0,0,158,0
0,1,1,4,3,-1.0,0,0,0,1,0
0,0,1,3,0,-1.0,1,1,0,1,0
1,1,0,6,1,-1.0,0,1,1,1,1
0,1,1,8,1,-1.0,0,1,2,31,1
0,1,1,2,0,-1.0,1,1,0,0,1
0,1,1,6,3,-1.0,0,1,1,0,1
0,1,1,2,1,-1.0,1,0,0,8,0
1,1,1,1,0,-1.0,0,0,0,24,0
0,1,0,9,0,-1.0,1,0,2,0,0
1,1,2,1,0,-1.0,1,0,0,0,0
0,1,0,3,0,0.0,0,0,0,-1,0
0,0,1,8,2,-1.0,0,1,2,0,1
0,1,1,1,0,-1.0,1,0,0,0,0
1,0,1,4,1,-1.0,1,0,0,1,0
0,1,0,5,2,-1.0,1,1,1,0,1
0,1,0,9,0,-1.0,0,0,2,0,0
0,1,2,3,12,-1.0,0,0,0,1,0
0,1,1,5,6,-1.0,1,0,1,0,0
0,1,1,4,2,-1.0,1,1,0,23,1
1,1,0,8,4,-1.0,1,0,2,0,0
0,1,1,2,0,-1.0,1,1,0,2,1
0,1,1,10,4,0.0,0,1,2,355,1
1,1,0,7,1,0.0,0,1,1,36,1
1,0,1,1,0,-1.0,0,1,0,0,1
0,1,1,4,1,0.0,0,0,0,-1,0
1,1,1,4,3,-1.0,1,0,0,0,0
0,1,0,3,1,-1.0,0,1,0,0,1
1,1,0,10,0,-2.0,1,1,2,0,1
1,1,2,2,0,0.0,1,0,0,1,0
1,1,2,1,3,-1.0,0,1,0,1,1
0,1,0,4,0,-1.0,0,0,0,0,0
0,1,0,5,0,-1.0,0,0,1,35,0
0,1,1,8,4,-1.0,0,1,2,353,1
1,1,2,3,2,-9.0,0,0,0,4,0
1,0,1,1,0,-1.0,0,1,0,0,1
1,1,1,6,9,-1.0,1,1,1,7,1
0,1,0,10,0,-1.0,0,1,2,209,1
1,0,2,2,5,-1.0,1,0,0,0,0
0,1,1,3,4,-1.0,0,1,0,0,1
1,0,2,3,1,-1.0,1,0,0,0,0
1,1,1,1,0,-1.0,1,0,0,2,0
1,0,1,5,1,-6.0,1,0,1,4,0
1,1,0,2,0,-1.0,0,1,0,-1,1
0,1,1,1,0,0.0,1,0,0,0,0
1,1,1,1,2,-1.0,1,0,0,1,0
0,1,0,3,0,-1.0,0,1,0,182,1
0,1,1,2,0,0.0,0,0,0,-1,0
1,1,2,1,4,0.0,0,0,0,-1,0
0,1,0,3,1,-24.0,0,0,0,1,0
0,1,0,6,0,-6.0,1,0,1,0,0
1,1,1,1,1,-1.0,1,1,0,0,1
1,1,1,1,0,-1.0,1,0,0,0,0
1,1,1,8,2,-1.0,0,1,2,1,1
0,0,1,9,5,-1.0,0,1,2,6,1
0,0,1,2,1,-1.0,0,0,0,0,0
0,1,1,5,2,-1.0,0,0,1,2,0
1,1,2,2,0,-1.0,1,0,0,2,0
0,1,1,1,1,-1.0,0,0,0,0,0
1,1,0,5,6,-1.0,0,1,1,0,1
0,1,1,1,0,-1.0,0,0,0,0,0
1,1,2,2,4,-1.0,1,0,0,3,0
0,1,2,1,7,-1.0,0,1,0,1,1
1,1,1,7,0,-3.0,0,1,1,1,1
1,1,1,10,7,-1.0,1,1,2,1,1
1,1,2,1,7,-1.0,0,1,0,14,1
0,1,1,1,0,0.0,1,0,0,0,0
1,1,2,5,12,-24.0,1,0,1,21,0
0,1,0,8,0,-1.0,0,1,2,0,1
0,1,1,4,4,-1.0,1,1,0,1,1
0,1,1,3,0,-1.0,1,0,0,1,0
1,1,1,2,0,-1.0,1,0,0,0,0
1,0,2,5,5,0.0,0,0,1,32,0
0,1,1,2,4,-1.0,0,1,0,1,1
0,1,1,7,0,-1.0,0,1,1,17,1
0,1,1,3,2,-1.0,0,0,0,5,0
1,1,1,2,2,-1.0,0,0,0,0,0
0,1,1,4,0,-1.0,0,1,0,1,1
0,1,1,2,0,-1.0,1,0,0,0,0
0,0,2,1,4,-1.0,0,0,0,1,0
1,0,0,3,1,-22.0,1,0,0,0,0
0,1,0,10,2,-1.0,0,1,2,140,1
1,1,1,7,0,0.0,0,1,1,35,1
1,1,1,1,2,-10.0,0,0,0,1,0
0,1,0,7,0,-1.0,1,0,1,0,0
1,1,1,2,0,-1.0,0,0,0,1,0
0,1,0,9,6,-1.0,0,0,2,1,0
0,1,1,4,6,-1.0,0,0,0,133,0
0,1,1,9,15,-1.0,0,1,2,2,1
0,1,0,7,0,-1.0,0,1,1,1,1
0,1,1,2,1,-1.0,0,1,0,3,1
0,1,2,4,1,-1.0,0,0,0,0,0
0,1,2,6,8,-1.0,0,1,1,5,1
1,1,1,2,2,-1.0,1,0,0,1,0
1,1,1,4,6,-25.0,0,0,0,0,0
0,1,0,3,0,-1.0,0,0,0,1,0
0,1,1,8,2,0.0,1,0,2,109,0
0,1,1,9,11,-1.0,1,1,2,1,1
1,0,0,6,0,-1.0,1,0,1,23,0
0,1,1,10,7,-1.0,0,1,2,602,1
0,1,1,7,1,-1.0,1,0,1,1,0
1,1,1,5,4,0.0,0,1,1,2,1
0,1,1,2,3,-1.0,1,0,0,11,0
0,1,0,8,2,-21.0,0,1,2,14,1
0,1,0,6,1,-1.0,1,1,1,4,1
0,1,1,1,0,0.0,0,0,0,0,0
0,0,0,4,0,-1.0,1,0,0,2,0
1,0,1,2,0,-2.0,1,0,0,0,0
0,1,1,4,1,0.0,1,0,0,-1,0
1,1,2,1,0,0.0,0,1,0,0,0
1,1,2,6,17,-25.0,0,1,1,23,1
1,0,2,1,0,-1.0,1,0,0,0,0
0,0,1,2,1,-10.0,0,0,0,0,0
1,1,1,1,0,0.0,1,0,0,1,0
1,1,1,2,10,-18.0,0,1,0,1,1
0,1,1,4,2,-1.0,0,1,0,1,1
0,1,0,7,0,0.0,0,1,1,5,1
1,1,1,5,0,0.0,0,0,1,0,0
0,1,0,9,3,0.0,0,0,2,0,0
0,1,1,2,0,-1.0,1,0,0,1,0
0,1,0,9,2,-1.0,0,1,2,2,1
1,1,1,1,0,-1.0,1,0,0,0,0
0,1,1,5,2,-1.0,0,0,1,14,0
0,0,1,4,4,0.0,0,0,0,0,0
1,1,1,6,1,-1.0,1,1,1,21,1
1,1,1,3,7,-1.0,1,0,0,1,0
0,1,1,3,3,-21.0,0,1,0,0,1
0,1,0,4,0,-1.0,0,1,0,1,0
1,1,2,1,2,-1.0,1,1,0,0,1
0,1,1,8,0,0.0,0,0,2,1,0
0,1,0,9,1,-1.0,1,0,2,5,0
0,1,1,10,19,-1.0,0,1,2,4,1
1,0,2,1,1,-21.0,0,0,0,5,0
1,1,1,2,0,-4.0,0,1,0,1,1
1,0,1,4,0,-1.0,0,1,0,0,1
0,1,1,2,0,-1.0,0,0,0,1,0
0,0,1,10,14,-1.0,0,1,2,4,1
0,1,1,1,0,-4.0,0,1,0,3,1
0,1,1,8,3,-1.0,0,1,2,0,1
1,1,1,4,2,0.0,1,1,0,1,1
0,0,1,2,2,-1.0,0,0,0,1,0
0,1,0,8,3,-1.0,0,1,2,26,1
1,1,2,5,1,0.0,0,1,1,27,1
0,0,0,3,1,-11.0,1,1,0,1,1
1,1,2,1,2,-1.0,1,0,0,1,0
1,1,1,3,0,-1.0,1,0,0,0,0
0,0,1,4,0,0.0,1,0,0,5,0
1,1,1,2,0,-1.0,0,0,0,0,0
0,1,2,1,0,0.0,1,1,0,1,1
0,0,1,8,8,-1.0,0,1,2,1,1
1,1,1,4,1,-1.0,0,0,0,4,0
0,1,0,8,1,-1.0,0,0,2,0,0
0,1,0,7,1,13.0,0,0,1,43,0
1,1,1,3,1,-1.0,1,1,0,0,1
0,1,1,4,3,0.0,0,1,0,0,1
0,1,2,1,9,0.0,1,0,0,1,0
0,1,1,9,20,0.0,0,1,2,317,1
0,0,1,6,1,-1.0,0,1,1,27,1
0,1,1,1,0,0.0,1,0,0,0,0
1,1,0,5,5,0.0,1,1,1,54,1
1,1,1,2,1,-1.0,0,1,0,64,1
0,1,0,3,0,-1.0,1,1,0,0,1
1,0,1,3,6,-1.0,0,1,0,1,1
0,0,1,3,2,-1.0,1,0,0,34,0
0,1,1,6,8,0.0,0,1,1,29,1
0,1,2,2,4,0.0,1,0,0,35,0
1,1,2,1,1,-1.0,0,0,0,24,0
1,0,2,1,2,-1.0,0,0,0,1,0
0,0,0,6,0,-1.0,1,0,1,1,0
0,1,1,7,2,-1.0,1,0,1,1,0
0,1,2,6,9,0.0,0,1,1,3,1
0,1,1,7,2,0.0,0,1,1,1,1
0,1,0,7,5,-1.0,0,1,1,1,1
0,1,0,5,3,20.0,0,1,1,214,1
0,1,1,2,2,-1.0,0,0,0,1,0
1,1,1,4,3,-1.0,0,0,0,86,0
0,0,1,2,1,-1.0,1,0,0,0,0
0,1,2,4,15,0.0,1,1,0,0,1
1,1,2,2,3,0.0,1,1,0,0,1
0,1,2,1,3,0.0,1,0,0,0,0
1,0,0,6,1,-1.0,0,0,1,1,0
1,1,1,6,2,-1.0,1,1,1,3,1
0,1,0,4,3,-1.0,0,1,0,30,1
0,1,0,9,12,0.0,1,1,2,36,1
1,1,0,8,3,-1.0,0,1,2,6,1
1,1,1,7,6,-1.0,0,0,1,6,0
0,1,1,1,4,-1.0,0,1,0,1,1
0,1,0,7,4,-1.0,0,0,1,4,0
1,0,1,7,7,-18.0,1,0,1,17,0
0,1,1,9,5,-1.0,0,1,2,1,1
1,0,2,8,1,-1.0,0,0,2,169,0
0,1,0,8,1,-8.0,0,0,2,8,0
0,1,1,10,6,-1.0,0,1,2,31,1
0,0,0,9,1,-1.0,0,0,2,1,0
0,1,1,10,15,-1.0,0,1,2,1,1
1,1,2,3,0,-1.0,0,0,0,108,0
1,0,0,6,0,-1.0,0,1,1,0,1
0,1,1,3,5,17.0,0,0,0,11,0
0,0,2,1,1,-1.0,0,0,0,1,0
0,1,0,3,0,0.0,1,1,0,0,1
1,0,1,7,5,-3.0,0,0,1,0,0
1,1,2,4,14,-1.0,1,1,0,28,1
1,1,1,9,5,-1.0,1,1,2,14,1
1,1,2,1,0,0.0,1,1,0,3,1
0,1,1,7,2,-1.0,1,0,1,1,0
0,1,1,10,8,-1.0,1,1,2,1,1
1,1,1,1,0,-1.0,1,0,0,0,0
0,1,1,3,7,-1.0,0,0,0,1,0
0,1,1,9,12,-1.0,1,1,2,0,1
1,0,0,10,3,-1.0,1,1,2,0,1
0,1,1,2,1,-1.0,0,1,0,1,1
1,1,2,1,1,-23.0,1,0,0,1,0
1,1,1,1,0,-1.0,0,0,0,2,0
1,1,1,2,0,-1.0,0,0,0,0,0
1,1,0,3,0,-1.0,0,0,0,0,0
1,1,0,8,5,-10.0,0,1,2,1,1
1,1,1,7,4,0.0,0,1,1,0,1
1,1,2,6,13,-1.0,0,1,1,0,1
1,0,1,1,0,-1.0,1,0,0,0,0
1,1,2,1,1,-1.0,1,0,0,2,0
1,1,2,7,11,-1.0,1,0,1,57,0
0,1,1,2,3,-1.0,0,0,0,0,0
1,1,2,1,0,-1.0,1,0,0,0,0
0,1,1,5,6,-1.0,0,1,1,10,1
1,1,0,5,0,-1.0,0,1,1,0,1
0,0,0,4,0,-1.0,0,1,0,0,1
0,1,1,6,7,-1.0,1,1,1,1,1
0,1,1,7,15,-6.0,0,0,1,6,0
0,1,1,8,12,-1.0,0,1,2,1,0
0,1,2,9,14,-1.0,0,1,2,0,1
0,1,1,10,14,-1.0,0,1,2,83,1
1,1,2,1,0,0.0,0,0,0,-1,0
0,1,1,6,4,0.0,0,1,1,21,1
0,1,0,9,2,-1.0,0,1,2,0,1
0,0,1,8,11,-1.0,0,0,2,0,0
1,1,2,1,3,-5.0,0,0,0,4,0
0,0,0,7,2,-1.0,1,1,1,14,1
0,1,2,9,3,6.0,0,0,2,36,0
0,1,1,10,7,0.0,1,1,2,2,1
0,1,2,1,0,-1.0,1,0,0,0,0
1,1,2,1,0,-1.0,1,0,0,0,0
0,1,0,3,0,-1.0,0,1,0,9,1
0,1,0,3,0,-1.0,1,1,0,2,1
1,1,2,1,6,0.0,0,1,0,0,1
1,0,2,2,2,-1.0,1,1,0,11,1
1,1,1,1,5,-1.0,0,0,0,1,0
1,1,2,3,1,-16.0,0,0,0,12,0
0,0,1,3,0,-1.0,1,0,0,1,0
1,1,1,2,2,-1.0,1,0,0,1,0
0,1,2,7,0,0.0,0,0,1,0,0
0,1,0,4,0,-1.0,1,1,0,1,0
0,1,1,9,14,0.0,0,1,2,-1,1
0,1,2,6,24,0.0,0,1,1,3,1
0,0,0,10,2,-1.0,0,1,2,23,1
0,1,1,4,0,0.0,1,1,0,0,1
1,1,0,8,0,0.0,0,1,2,4,1
0,1,1,1,3,-4.0,1,0,0,0,0
0,1,1,8,15,-1.0,0,1,2,7,1
0,1,1,4,10,0.0,0,1,0,10,1
0,1,0,3,0,-1.0,0,0,0,1,0
1,1,1,5,2,-1.0,0,1,1,0,1
1,0,2,4,0,-1.0,1,0,0,1,0
1,0,2,1,1,-20.0,0,0,0,1,0
0,1,1,8,11,-1.0,0,0,2,0,0
0,1,1,1,2,-1.0,1,0,0,0,0
0,1,2,7,15,-1.0,0,1,1,6,1
0,0,0,3,0,-1.0,0,0,0,0,0
